team,color_1,color_2,color_3
Kansas Wesleyan Coyotes,#5a2a82,#fec524,
Kean Cougars,#003057,#7c878e,
Keene State Owls,#c60c30,#000000,
Kennesaw State Owls,#0b1315,#fdbb30,
Kent State Golden Flashes,#002664,#efab00,
Kentucky State Thorobreds,#046a38,#ffd100,
Kentucky Wildcats,#0033a0,#c8c9c7,
King's Monarchs,#cc0033,#000000,#ffcd00
Kutztown Golden Bears,#782f40,#a49473,
LIU Brooklyn Blackbirds,#231f20,#8a8d8f,
LIU Post Pioneers,#0e553f,#edaa00,
LIU Sharks,#69b3e7,#ffc72c,#000000
LSU Tigers,#461d7c,#fdd023,
La Salle Explorers,#003057,#f1c400,
Lafayette Leopards,#910029,#000000,
Lake Erie Storm,#113d2a,#000000,
Lake Forest Foresters,#c8102e,#8b784a,#000000
Lake Superior State Lakers,#003f87,#ffc61e,
Lamar Cardinals,#e31937,#000000,
Lander Bearcats,#235782,#f8e463,
Lane Dragons,#000080,#990000,
Langston Lions,#1b3668,#f2682a,
Lawrence Vikings,#003d6a,#231f20,
Le Moyne Dolphins,#00452a,#fff30d,
LeMoyne–Owen Magicians,#421383,#988344,
Lebanon Valley Flying Dutchmen,#00305c,#b2b4b3,
Lee Flames,#0d233f,#6f263d,
Lehigh Mountain Hawks,#653819,#c2a875,
Lewis Flyers,#ed174d,#000000,
Liberty Flames,#0a254e,#990000,
Limestone Saints,#0033a1,#fde021,
Lincoln Blue Tigers,#211c41,#929396,
Lincoln Memorial Railsplitters,#002461,#d1d1cc,
Lindenwood Lions,#000000,#dcd087,
Lipscomb Bisons,#331e54,#f4aa00,
Little Rock Trojans,#6e2639,#a7a9ac,
Lock Haven Bald Eagles,#7a0026,#231f20,
Lone Star Conference,#002169,#e1251b,
Long Beach State Beach,#000000,#ecaa00,
Longwood Lancers,#041e42,#9ea2a2,
Louisiana Tech Bulldogs,#003087,#cb333b,
Louisiana Tech Lady Techsters,#69b3e7,#cb333b,
Louisiana–Lafayette Ragin' Cajuns,#ce181e,#0a0203,
Louisiana–Monroe Warhawks,#840029,#fdb913,
Louisville Cardinals,#c9001f,#000000,
Lourdes Gray Wolves,#b94700,#000000,
Loyola Greyhounds,#00694e,#cacac8,
Loyola Marymount Lions,#ab0c2f,#0076a5,
Loyola Ramblers,#582931,#fdb913,
Loyola Wolf Pack,#660000,#f4aa00,
Lubbock Christian Chaparrals,#10147e,#f20017,
MIT Engineers,#a31f34,#8a8b8c,#c2c0bf
MSOE Raiders,#ba122b,#000000,
Macalester Scots,#01426a,#d44420,
Maine Black Bears,#003263,#b0d7ff,
Malone Pioneers,#003e7e,#c41230,
Manhattan Jaspers,#00703c,#a39161,
Manhattanville Valiants,#a60438,#000000,
Manitoba Bisons,#562e18,#b6985e,
Mansfield Mountaineers,#d3103e,#231f20,
Marian Knights,#031e51,#fdb813,
Marian Sabres,#003da5,#000000,
Marist Red Foxes,#c8102e,#231f20,
Marquette Golden Eagles,#003366,#ffcc00,
Marshall Thundering Herd,#00b140,#231f20,
Martin Methodist RedHawks,#a6192e,#a28e2a,
Mary Marauders,#00539b,#f58426,
Maryland Eastern Shore Hawks,#822433,#8b8d8e,
Maryland Terrapins,#e21833,#ffd200,
Maryville Saints,#c8102e,#2c2a29,
Massachusetts College of Liberal Arts Trailblazers,#25408f,#a3b86a,
Massachusetts Maritime Academy Buccaneers,#002066,#ffd527,
McDaniel Green Terror,#00674d,#f6d016,
McGill Redbirds,#cd202c,#000000,
McKendree Bearcats,#470a68,#b7970c,
McNeese State Cowboys,#00529b,#ffd204,
McPherson Bulldogs,#cc0000,#000000,
Memphis Tigers,#004991,#8e908f,
Mercer Bears,#000000,#cb5307,
Mercyhurst Lakers,#0f4f44,#171e3a,
Merrimack Warriors,#003768,#f1c400,
Metro Atlantic Athletic Conference,#004fa3,#e03a3e,
Metro State Roadrunners,#00447c,#d11242,
Miami Hurricanes,#005030,#f05a00,
Miami RedHawks,#b61e2e,#000000,
Michigan State Spartans,#173f35,,
Michigan Tech Huskies,#000000,#ffcd00,
Michigan Wolverines,#00274c,#ffcb05,
Mid-America Intercollegiate Athletics Association,#003e7e,#d21242,
Mid-American Conference,#0c2950,#00a363,
MidAmerica Nazarene Pioneers,#071d49,#bf0d3e,
Middle Tennessee State Blue Raiders,#0066cc,#000000,
Middlebury Panthers,#003882,,
Midwestern State Mustangs,#862633,#eaaa00,
Miles Golden Bears,#580d69,#e2d000,
Millersville Marauders,#000000,#eeb111,
Millsaps Majors,#330066,#cccccc,
Milwaukee Panthers,#222222,#ffb81c,
Minnesota Golden Gophers,#5b0013,#ffb71e,
Minnesota Intercollegiate Athletic Conference,#006241,#009bde,
Minnesota Morris Cougars,#8c1919,#e19b14,
Minnesota State Mavericks,#480059,#f7e400,
Minnesota State–Moorhead Dragons,#a6192e,#2d2926,
Minnesota–Crookston Golden Eagles,#7a0019,#ffcc33,
Minnesota–Duluth Bulldogs,#7a0019,#ffcc33,
Minot State Beavers,#006341,#cc0033,
Mississippi College Choctaws,#003057,#f2a900,
Mississippi State Bulldogs,#5d1725,,
Mississippi Valley State Delta Devils,#046a38,#c8102e,
Missouri S&T Miners,#154734,#ceb888,
Missouri Southern Lions,#00693e,#f5cf47,
Missouri State Bears,#5e0009,#0a141e,
Missouri Tigers,#000000,#f1b82d,
Missouri Valley Conference,#df3742,#003876,
Missouri Western Griffons,#000000,#ffc700,
Monmouth Hawks,#041e42,#a5a9ad,
Montana Grizzlies,#660033,#999999,
Montana State Billings Yellowjackets,#002f5f,#f0b310,
Montana State Bobcats,#00205b,#bf995b,
Montana Tech Orediggers,#315338,#995339,
Montevallo Falcons,#49176d,#ffc423,
Morehead State Eagles,#005eb8,#ffcf00,
Morehouse Maroon Tigers,#891e31,#000000,
Morgan State Bears,#002d74,#ff4e00,
Morrisville State Mustangs,#004730,#00966c,
Mount Mercy Mustangs,#003768,#ffdd00,
Mount St. Mary's Mountaineers,#002f6c,#84754e,
Mount Union Purple Raiders,#661c78,#000000,
Mountain Pacific Sports Federation,#005696,#f68e1e,
Mountain West Conference,#4f2d7f,#afafaf,
Murray State Racers,#16243a,#fbc01c,
Music City Bowl,#131c43,#6eabdd,
NAIA,#004990,#d52130,
NC State Wolfpack,#cc0000,#000000,
NCAA Division I,#009cde,#000000,
NCAA Division II,#009cde,#000000,
NJIT Highlanders,#cc0000,#071d49,
NU Bulldogs,#373c96,#d9b638,
NYIT Bears,#242c39,#f2af31,
NYU Violets,#57068c,#000000,
National Collegiate Hockey Conference,#b5121b,#002b54,
Navy Midshipmen,#00225b,#b4a67c,
Nazareth Golden Flyers,#4b375e,#d4a66d,
Nebraska Cornhuskers,#e41c38,#fdf2d9,
Nebraska–Kearney Lopers,#004d86,#e4a115,
Neumann Knights,#003466,#ffd102,
Nevada Wolf Pack,#041e42,#74767b,
New England College Pilgrims,#000f30,#a0a5a8,
New England Nor'easters,#003882,#000000,
New Hampshire Wildcats,#041e42,#bbbcbc,
New Haven Chargers,#004b8d,#ffc425,
New Mexico Highlands Cowboys,#502d7f,#b2b5b6,
New Mexico Lobos,#ba0c2f,#a7a8aa,
New Mexico State Aggies,#891216,#cccccc,
New Orleans Privateers,#005ca6,#a3a9ad,
Newman Jets,#051c48,#b32d33,
Niagara Purple Eagles,#582c83,#c7c8ca,
Nicholls State Colonels,#c41230,#b2b2b2,
Nichols Bison,#000000,#007a5f,
Norfolk State Spartans,#007b5e,#fab80a,
North Alabama Lions,#46166b,#b4a76c,
North Carolina A&T Aggies,#004684,#fdb927,
North Carolina Central Eagles,#862633,#898d8d,
North Carolina Tar Heels,#7bafd4,#13294b,
North Dakota Fighting Hawks,#009a44,#000000,
North Dakota State Bison,#005643,#ffc82e,
North Florida Ospreys,#00246b,#d9d9d9,
North Georgia Nighthawks,#002f87,#ffc82e,
North Greenville Crusaders,#000000,#d60036,
North Texas Mean Green,#00853e,#000000,
Northeast Conference,#006ba3,#231f20,
Northeastern Huskies,#d41b2c,#000000,
Northeastern State RiverHawks,#008265,#999999,
Northern Arizona Lumberjacks,#003466,#ffd200,
Northern Colorado Bears,#013c65,#f6b000,
Northern Illinois Huskies,#ba0c2f,#27251f,
Northern Iowa Panthers,#4b116f,#ffcc00,
Northern Kentucky Norse,#000000,#ffc82e,
Northern Michigan Wildcats,#095339,#ffc425,
Northern State Wolves,#990033,#ffcc66,
Northern Sun Intercollegiate Conference,#001561,#f8dc53,
Northland Lumberjacks,#dc4405,#003057,
Northwest Missouri State Bearcats,#006a4e,#babbbc,
Northwest Nazarene Nighthawks,#b51946,#000000,
Northwestern Oklahoma State Rangers,#000000,#cc092f,
Northwestern State Demons,#492f92,#f78426,
Northwestern Wildcats,#4e2a84,#000000,
Northwood Timberwolves,#093161,#0080c3,
Norwich Cadets,#87212e,#907c4b,
Notre Dame Fighting Irish,#0c2340,#c99700,
Notre Dame de Namur Argonauts,#003263,#dac792,
Nova Southeastern Sharks,#003893,#666d70,
Oakland Golden Grizzlies,#000000,#b59a57,
Oberlin Yeomen,#cf102d,#ffc72c,
Occidental Tigers,#000000,#ff671f,
Oglethorpe Stormy Petrels,#000000,#ffdd00,
Ohio Bobcats,#00694e,,
Ohio Dominican Panthers,#000000,#ffc72c,
Ohio State Buckeyes,#ce0f3d,#b0b7bc,
Ohio Valley Conference,#a51341,#d0a675,
Oklahoma Baptist Bison,#255f2b,#fcaf17,
Oklahoma Christian Eagles,#660000,#cccccc,
Oklahoma City Stars,#004b87,#000000,
Oklahoma Panhandle State Aggies,#001f5b,#cf0a2c,
Oklahoma Sooners,#841617,#ddcba4,
Oklahoma State Cowboys,#fe5c00,#000000,
Oklahoma Wesleyan Eagles,#002244,#fdb913,
Old Dominion Monarchs,#003767,#95999c,
Ole Miss Rebels,#14213d,#ce1126,
Omaha Mavericks,#000000,#d71920,
Oral Roberts Golden Eagles,#002462,#dac792,
Orange Bowl,#f47b2a,#003764,#000000
Oregon Ducks,#036936,#fee11a,
Oregon State Beavers,#d73f09,#000000,
Ottawa Braves,#000000,#ffbe29,
Ottawa Gee-Gees,#651d32,#a7a8aa,
Ouachita Baptist Tigers,#552988,#ffc627,
Pac-12 Conference,#004b91,#000007,
Pace Setters,#00337f,#ffc61e,
Pacific Tigers,#000000,#f47920,
Pacific West Conference,#4196b4,#000000,
Paine Lions,#59178a,,
Patriot League,#15366f,#ed192d,
Peach Bowl,#00549e,#e31837,
Penn Quakers,#011f5b,#990000,
Penn State Nittany Lions,#001e44,,
Pennsylvania State Athletic Conference,#003da5,#a2aaad,
Pepperdine Waves,#00205c,#ee7624,
Peru State Bobcats,#0d4d92,#d3d3d3,
Pittsburg State Gorillas,#cc0c2f,#fcd116,
Pittsburgh Panthers,#003594,#ffb81c,
Pittsburgh–Johnstown Mountain Cats,#1c2957,#cdb87d,
Plymouth State Panthers,#135841,#000000,
Point Loma Nazarene Sea Lions,#0e553f,#fdb827,
Point Skyhawks,#00407a,#fcc917,
Pomona College,#20438f,#cfd2aa,
Pomona-Pitzer Sagehens,#20438f,#f7941d,
Portland Pilots,#330072,,
Portland State Vikings,#154734,#a5acaf,
Post Eagles,#5e2750,#ff8200,
Prairie View Panthers,#4f2582,#fec325,
Presbyterian Blue Hose,#0060a9,#9d2235,
Princeton Tigers,#000000,#ff6000,
Providence Friars,#000000,#8a8d8f,
Purdue Boilermakers,#000000,#cfb991,
Purdue Fort Wayne Mastodons,#000000,#c28e0e,
Purdue–Northwest Pride,#000000,#e6d395,
Queens Knights,#00263e,#cb2c30,
Queens Royals,#00205b,#a89968,
Quincy Hawks,#581e00,#ffd457,
Quinnipiac Bobcats,#0a2240,#ffb819,
RIT Tigers,#f76902,#000000,
RPI Engineers,#e2231b,#222222,
Radford Highlanders,#c2011b,#d1d3d4,
Ramapo Roadrunners,#87212e,#000000,
Randolph–Macon Yellow Jackets,#000000,#f9dc30,
Regina Rams,#004f2e,#ffc82e,
Regis Rangers,#002b49,#f1c400,
Rhode Island Rams,#68abe8,#041e42,
Rice Owls,#00205b,#c1c6c8,
Richmond Spiders,#002b5e,#c32032,
Rider Broncs,#981e32,#6c6f70,
Riverside City Tigers,#000000,#ff5a00,
Rivier Raiders,#004c97,#c1c6c8,
Robert Morris Colonials,#14234b,#a6192e,
Rochester Yellowjackets,#003b71,#ffd100,
Rockhurst Hawks,#0046ad,#000000,
Rocky Mountain Athletic Conference,#00205c,#ffc629,
Roger Williams Hawks,#003d6e,#e0ad12,
Rogers State Hillcats,#002244,#b71234,
Rollins Tars,#0071ba,#facf00,
Rose Bowl Game,#e2231a,#007934,
Rowan Profs,#3f1a0a,#edd51c,
Rutgers Scarlet Knights,#cc0033,#000000,
Ryerson Rams,#002d72,#d9d9d9,
SIU Edwardsville Cougars,#cc0000,#000000,
SMU Mustangs,#cc0035,#354ca1,
SUNY Alfred Pioneers,#003c71,#ffcd00,
SUNY Brockport Golden Eagles,#00533e,#ffc726,
SUNY Canton Roos,#004b8d,#cfab7a,#00a160
SUNY Cobleskill Tigers,#fe5000,#010101,
SUNY Delhi Broncos,#2c5234,#ffc72c,
SUNY ESF Mighty Oaks,#046a38,#ffc72c,
SUNY Fredonia Blue Devils,#0033a0,#000000,
SUNY Geneseo Knights,#003896,#85888b,
SUNY New Paltz Hawks,#00205b,#0072ce,
SUNY Oneonta Red Dragons,#cb2c30,,
SUNY Oswego Lakers,#235937,#ffcc33,
SUNY Plattsburgh Cardinals,#c8102e,#000000,
SUNY Potsdam Bears,#8a1538,#a2aaad,
Sacramento State Hornets,#043927,#c4b581,
Sacred Heart Pioneers,#cd1041,#3c3c3c,
Saginaw Valley State Cardinals,#ac162a,#003663,
Saint Anselm Hawks,#143e5f,#ccd6dc,
Saint Benedict Blazers,#be0f34,#000000,
Saint Francis Red Flash,#bd1f25,#000000,
Saint John's Johnnies,#be0f34,#5a7e92,
Saint Joseph's Hawks,#9e1b32,#bcbdc0,
Saint Joseph's Pumas,#41136c,#7c1237,
Saint Leo Lions,#205c40,#f2a900,
Saint Louis Billikens,#003da5,#c8c9c7,
Saint Martin's Saints,#bf0c26,#000000,
Saint Mary Spires,#0c2340,#ffd100,
Saint Mary's Cardinals,#c8102e,#002855,
Saint Mary's Gaels,#06315b,#d80024,
Saint Michael's Purple Knights,#5e2278,#dacd96,
Saint Peter's Peacocks,#003c71,,
Saint Rose Golden Knights,#000000,#f9b50a,
Salem State Vikings,#1a3b8c,#dc6000,
Salve Regina Seahawks,#0069aa,#000000,
Sam Houston State Bearkats,#f56423,#000000,
Samford Bulldogs,#0c2340,#ba0c2f,
San Diego State Aztecs,#c41230,#000000,
San Diego Toreros,#003b70,#75bee9,
San Francisco Dons,#00543c,#fdbb30,
San Francisco State Gators,#52247f,#ffcc00,
San Jose State Spartans,#0038a8,#ffb81a,
Santa Clara Broncos,#862633,#000000,
Saskatchewan Huskies,#00693e,#000000,
Savannah State Tigers,#002294,#f24d17,
Scranton Royals,#4a245e,#000000,
Scripps College,#34715b,#000000,
Seattle Pacific Falcons,#7b1416,#000000,
Seattle Redhawks,#aa0000,#000000,
Seton Hall Pirates,#0060a9,#a7b1b7,
Seton Hill Griffins,#bf0033,#fcd06b,
Sewanee Tigers,#582c83,#ceb888,
Shippensburg Red Raiders,#002395,#e00034,
Shorter Hawks,#0068b3,#231f20,
Siena Saints,#006747,#ffc20f,
Simon Fraser Clan,#cc0633,,
Sioux Falls Cougars,#492f91,#000000,
Skidmore Thoroughbreds,#006a52,#ffd100,
Slippery Rock The Rock,#006951,#000000,
Sonoma State Seawolves,#003366,#99bfe6,
South Alabama Jaguars,#00205b,#bf0d3e,
South Carolina Gamecocks,#73000a,#000000,
South Carolina State Bulldogs,#841a2b,#1e4692,
South Carolina–Beaufort Sand Sharks,#002d62,#e0c398,
South Dakota Coyotes,#ad0000,#000000,
South Dakota Mines Hardrockers,#071d49,#b3a369,
South Dakota State Jackrabbits,#0032a0,#ffd100,
South Florida Bulls,#006747,#cfc493,
Southeast Missouri State Redhawks,#c8102e,#000000,
Southeastern Conference,#004b8d,#ffd046,
Southeastern Fire,#000000,#e31b23,
Southeastern Louisiana Lions,#215732,#ffc72c,
Southeastern Oklahoma State Savage Storm,#0033a0,#ffdd00,
Southern Arkansas Muleriders,#003da5,#ffd100,
Southern Conference,#001489,#da291c,
Southern Connecticut Owls,#001489,#97999b,
Southern Illinois Salukis,#660000,#000000,
Southern Indiana Screaming Eagles,#002856,#cf102d,
Southern Intercollegiate Athletic Conference,#0a2240,#65b2e8,
Southern Jaguars,#05356e,#ffc72c,
Southern Maine Huskies,#1e3b78,#ffcc00,
Southern Miss Golden Eagles,#000000,#ffd046,
Southern Nazarene Crimson Storm,#891717,#000000,
Southern New Hampshire Penmen,#1a326c,#fab20b,
Southern Oregon Raiders,#c8102e,#000000,
Southern Utah Thunderbirds,#e91d2d,#000000,
Southland Conference,#00264b,#ffb30d,
Southwest Baptist Bearcats,#4a217e,#c2c6c7,
Southwest Minnesota State Mustangs,#3a1807,#bcaa71,
Southwestern Moundbuilders,#8031a7,#000000,
Southwestern Oklahoma State Bulldogs,#1b365d,#888b8d,
Southwestern Pirates,#000000,#ffcc33,
Spring Hill Badgers,#49176d,,
Springfield Pride,#862633,,
St. Bonaventure Bonnies,#54261a,#fdb726,
St. Catherine Wildcats,#491a6a,#f7d465,
St. Cloud State Huskies,#a10209,#000000,
St. Edward's Hilltoppers,#002566,#998f4d,
St. Francis Brooklyn Terriers,#0038a8,#ce1126,
St. John's Red Storm,#c3002f,#011e41,
St. Lawrence Saints,#af1e2d,#4b2b23,
St. Mary's Rattlers,#004c97,#f2c75c,
St. Norbert Green Knights,#1a472b,#edbd3d,
St. Olaf Oles,#000000,#c7940d,
St. Scholastica Saints,#0033a0,#f1be48,
St. Thomas (Minnesota) Tommies,#500878,#97999b,
Stanford Cardinal,#8c1515,,
Stanislaus State Warriors,#e31b23,#bfb241,
Stephen F. Austin Lumberjacks,#5f259f,#b1b3b3,
Sterling Warriors,#00275d,#a9233e,
Stetson Hatters,#006747,#000000,
Stevenson Mustangs,#004e42,#000000,
Stillman Tigers,#16304b,#c5b358,
Stonehill Skyhawks,#2f2975,#000000,
Stony Brook Seawolves,#990000,#16243e,
Suffolk Rams,#142f53,#c6a141,
Sugar Bowl,#014b94,#fdb524,
Summit League,#003494,#7e868c,
Sun Belt Conference,#0a2240,#f6a800,
Sunshine State Conference,#0032a0,#ffb81c,
Swarthmore Garnet,#9d2235,#a2aaad,
Syracuse Orange,#d44500,#0c233f,
TCU Horned Frogs,#4d1979,,
Tabor Bluejays,#002d72,#ffcd00,
Tampa Spartans,#000000,#c8102e,
Tarleton State Texans,#4f2d7f,#000000,
Temple Leopards,#111820,#c6b748,
Temple Owls,#990033,#222222,
Tennessee State Tigers,#171796,#ff0504,
Tennessee Tech Golden Eagles,#4f2984,#ffdd00,
Tennessee Volunteers,#ff8200,#000000,
Texas A&M Aggies,#500000,,
Texas A&M International Dustdevils,#61162d,#cccccc,
Texas A&M–Commerce Lions,#0a2846,#edac09,
Texas A&M–Corpus Christi Islanders,#0067c5,#007f3e,
Texas A&M–Kingsville Javelinas,#005daa,#fcc01f,
Texas Longhorns,#bf5700,,
Texas Southern Tigers,#6f263d,#a2aaad,
Texas State Bobcats,#501214,#8d734a,
Texas Tech Red Raiders,#cc0000,#000000,
Texas Woman's Pioneers,#850928,#000000,
Texas–Arlington Mavericks,#0064b1,#f58025,
Texas–Pan American Broncs,#006600,#ff6600,
Texas–Permian Basin Falcons,#e35205,#000000,
Texas–Tyler Patriots,#002f6c,#cb6015,
Tiffin Dragons,#00623b,#fff14f,
Toledo Rockets,#003e7e,#ffd200,
Toronto Varsity Blues,#00204e,,
Towson Tigers,#000000,#ffbb00,
Transylvania Pioneers,#b20d35,#231f20,
Trine Thunder,#00305c,#c5b783,
Trinity Bantams,#00305c,#f7d117,
Trinity Tigers,#723130,#bbbcbc,
Troy Trojans,#6d0017,#b2b3b5,
Truman Bulldogs,#510c76,,
Tufts Jumbos,#3e8ede,#512c1d,
Tulane Green Wave,#006548,#3a8dde,
Tulsa Golden Hurricane,#003595,#ce0e2d,
Tuskegee Golden Tigers,#7b0707,#f2bd2c,
UAB Blazers,#1e6b52,#cdc26c,
UBC Thunderbirds,#002145,#f2a900,
UC Davis Aggies,#002855,#b3a369,
UC Irvine Anteaters,#0c2340,#ffc72c,
UC Merced Golden Bobcats,#072b31,#b3a369,
UC Riverside Highlanders,#003da5,#ffb81c,
UC San Diego Tritons,#182b49,#ffcd00,
UC Santa Barbara Gauchos,#004d9f,#ffb814,
UC Santa Cruz Banana Slugs,#0f1640,#e0a600,
UCF Knights,#000000,#b7a369,
UCLA Bruins,#2774ae,#f2a900,
UE Red Warriors,#ed2939,,
UHV Jaguars,#e81c18,#cca77c,
UIC Flames,#001e62,#d50032,
UIS Prairie Stars,#0c2340,#a89968,
UMBC Retrievers,#000000,#fdb515,
UMSL Tritons,#b5121b,#eeb211,
UMass Boston Beacons,#005a8b,#a0cfeb,
UMass Dartmouth Corsairs,#003764,#fec24d,
UMass Lowell River Hawks,#00549f,#cf202f,
UMass Minutemen,#881c1c,#27251f,
UNC Asheville Bulldogs,#003da5,#000000,
UNC Greensboro Spartans,#0f2044,#ffb71b,
UNC Pembroke Braves,#000000,#a67f31,
UNC Wilmington Seahawks,#006666,#ffd600,
UNLV Rebels,#cf0a2c,#cac8c8,
UP Fighting Maroons,#7b1113,#014421,
USC Aiken Pacers,#75263b,#002e62,
USC Trojans,#9d2235,#ffc72c,
USC Upstate Spartans,#00833e,#000000,
UST Growling Tigers,#fcbf15,#231f20,#000000
UT Martin Skyhawks,#0d223f,#f58220,
UTEP Miners,#041e42,#ff8200,
UTRGV Vaqueros,#f05023,#646469,
UTSA Roadrunners,#002244,#dd4814,
Union Bulldogs,#aa0c31,#231f20,
Union Dutchmen,#822433,,
Upper Iowa Peacocks,#0d1030,#689cd3,
Utah State Aggies,#00263a,#8a8d8f,
Utah Tech Trailblazers,#ba1c21,#002649,
Utah Utes,#cc0000,#000000,
Utah Valley Wolverines,#275d38,#000000,
Utica Pioneers,#0c223f,#e75200,
VCU Rams,#000000,#ffb300,
VMI Keydets,#ae122a,#ffd619,
Valdosta State Blazers,#cc0000,#000000,
Valparaiso Beacons,#381e0e,#ffcc00,
Vanderbilt Commodores,#000000,#cfae70,
Vermont Catamounts,#005710,#ffc20e,
Villanova Wildcats,#00205b,#13b5ea,
Virginia Cavaliers,#232d4b,#f84c1e,
Virginia Tech Hokies,#861f41,#e87722,
WPI Engineers,#ac2b37,#a9b0b7,
Wagner Seahawks,#004331,#cccccc,
Wake Forest Demon Deacons,#2c2a29,#ceb888,
Walsh Cavaliers,#6d0020,#b6985a,
Washburn Ichabods,#003a70,,
Washington & Jefferson Presidents,#000000,#a4343a,
Washington Huskies,#4b2e83,#b7a57a,
Washington State Cougars,#981e32,#53565a,
Washington University Bears,#a51417,#007360,
Washington and Lee Generals,#003399,,
Wayne State Warriors,#115e56,#c79316,
Wayne State Wildcats,#000000,#fbbf22,
Weber State Wildcats,#4b2682,#a1a1a4,
Wentworth Institute of Technology Leopards,#cf142b,#000000,#f7d417
Wesleyan Cardinals,#d72121,#000000,
West Alabama Tigers,#a6192e,#000000,
West Chester Golden Rams,#540e69,#faaa20,
West Coast Conference,#24cad2,#000000,#000000
West Florida Argonauts,#0072ce,#00af66,
West Georgia Wolves,#0033a1,#db1a21,
West Liberty Hilltoppers,#000000,#ffcd33,
West Texas A&M Buffaloes,#581818,#000000,
West Virginia Mountaineers,#002855,#eaaa00,
West Virginia State Yellow Jackets,#000000,#c99700,
Western Athletic Conference,#98002e,#d9d4cc,
Western Carolina Catamounts,#592c88,#b9975b,
Western Colorado Mountaineers,#a71930,#565a5c,
Western Illinois Leathernecks,#663399,#ffcc00,
Western Kentucky Hilltoppers,#b01e24,#000000,
Western Michigan Broncos,#532e1f,#f1c500,
Western Mustangs,#512888,#63666a,
Western New England Golden Bears,#003082,#e6b012,
Western New Mexico Mustangs,#42196f,#febe10,
Western Oregon Wolves,#e31837,#231f20,
Western Washington Vikings,#0e2b58,#7898c9,
Westfield State Owls,#00247d,#8e774d,
Westminster Griffins,#380e56,#bc9b6b,
Wichita State Shockers,#27251f,#ffcd00,
Widener Pride,#0057b8,#ffc845,
Wilkes Colonels,#002855,#ffcd00,
Willamette Bearcats,#98002e,#b39d6e,
William & Mary Tribe,#115740,#f0b323,
William Carey Crusaders,#d01144,#000000,
William Jewell Cardinals,#cc0033,#231f20,
William Smith Herons,#00593d,,
Williams Ephs,#512698,#fdcc09,
Wilmington Quakers,#024e43,#7ab800,
Windsor Lancers,#005596,#ffce00,
Winona State Warriors,#4b08a1,#ffcc33,
Winston-Salem State Rams,#c8102e,#000000,
Winthrop Eagles,#660000,#f0b323,
Wisconsin Badgers,#c4012f,#000000,
Wisconsin Intercollegiate Athletic Conference,#002f87,#ea0029,
Wisconsin–Eau Claire Blugolds,#2b3e85,#edac1a,
Wisconsin–La Crosse Eagles,#830019,#969799,
Wisconsin–Oshkosh Titans,#000000,#ffcc00,
Wisconsin–Parkside Rangers,#004631,#213629,
Wisconsin–Platteville Pioneers,#ff5800,#0047ba,
Wisconsin–River Falls Falcons,#c80f2e,#000000,
Wisconsin–Stevens Point Pointers,#59178a,#fcc917,
Wisconsin–Stout Blue Devils,#012169,#000000,
Wisconsin–Superior Yellowjackets,#000000,#fcd647,
Wisconsin–Whitewater Warhawks,#502d7f,#babcbe,
Wofford Terriers,#000000,#886e4c,
Worcester State Lancers,#003896,#f0e07d,
Wright State Raiders,#046a38,#cba052,
Wyoming Cowboys,#492f24,#ffc425,
Xavier Musketeers,#0c2340,#9ea2a2,
Yale Bulldogs,#0a2240,,
York Panthers,#005eb8,#000000,
Young Harris Mountain Lions,#260053,#c7c6c9,
Youngstown State Penguins,#c8102e,#000000,